ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
1328,MIDFIELD CITY SCHOOL DISTRICT,2012,11345,1999,6767,2579,11926,5315,3962,1243,1356
6511,VESTAVIA HILLS CITY SCHOOL DISTRICT,2012,70483,1547,28808,40128,69569,39790,21789,3915,3788
2445,LAMAR COUNTY SCHOOL DISTRICT,2012,21249,2326,14443,4480,20152,10371,6520,2460,521
4370,FLORENCE CITY SCHOOL DISTRICT,2012,50104,6937,21614,21553,46920,27156,14292,2989,1095
8685,LAUDERDALE COUNTY SCHOOL DISTRICT,2012,77104,6966,48933,21205,72549,43994,21843,5909,610
5179,LAWRENCE COUNTY SCHOOL DISTRICT,2012,48134,5591,29201,13342,47485,25164,15937,4220,1356
9828,LEE COUNTY SCHOOL DISTRICT,2012,88029,7182,52360,28487,87538,48259,26209,6493,3406
4211,OPELIKA CITY SCHOOLS,2012,43841,4846,20842,18153,48140,24946,13256,4383,4927
7056,AUBURN CITY SCHOOL DISTRICT,2012,92086,3944,30878,57264,80022,36867,20860,5057,13891
3201,ATHENS CITY SCHOOL DISTRICT,2012,35601,2565,17399,15637,35223,19220,9766,2214,2714
8921,LIMESTONE COUNTY SCHOOL DISTRICT,2012,81784,6120,49893,25771,75637,44554,22375,5485,1504
1828,LOWNDES COUNTY SCHOOL DISTRICT,2012,28388,12098,11764,4526,27950,11940,12315,1955,1349
2559,MACON COUNTY SCHOOL DISTRICT,2012,27010,5460,15862,5688,28504,12089,10960,2019,2020
22974,HUNTSVILLE CITY SCHOOL DISTRICT,2012,249354,22333,113178,113843,266632,138350,80787,12144,34288
20012,MADISON COUNTY SCHOOL DISTRICT,2012,176055,13313,104596,58146,172746,91824,54809,14944,4822
9042,MADISON CITY SCHOOL DISTRICT,2012,88442,4670,45969,37803,112788,47383,26968,5017,29156
2336,DEMOPOLIS CITY SCHOOL DISTRICT,2012,18955,2086,12401,4468,18383,10901,4867,1756,735
1379,MARENGO COUNTY SCHOOL DISTRICT,2012,15073,3021,8971,3081,14736,7773,5292,1335,85
501,LINDEN CITY SCHOOL DISTRICT,2012,5547,802,3599,1146,5640,2713,2409,474,2
3532,MARION COUNTY SCHOOL DISTRICT,2012,31533,4048,20998,6487,32207,17722,8985,2785,2550
1277,WINFIELD CITY SCHOOL DISTRICT,2012,11971,1056,7464,3451,11107,6223,3262,1110,398
5881,MARSHALL COUNTY SCHOOL DISTRICT,2012,56252,8643,34579,13030,55493,27982,18737,5521,2679
2216,BOAZ CITY SCHOOL DISTRICT,2012,22092,2454,13079,6559,21862,10876,7172,1974,711
4140,ALBERTVILLE CITY SCHOOL DISTRICT,2012,35621,4686,22061,8874,35381,19422,11903,3327,479
2526,ARAB CITY SCHOOL DISTRICT,2012,22022,1458,13800,6764,21122,13099,6102,1725,147
1925,GUNTERSVILLE CITY SCHOOL DISTRICT,2012,18266,1635,10049,6582,17730,9742,5481,2046,324
61462,MOBILE COUNTY SCHOOL DISTRICT,2012,585069,83326,323217,178526,573397,286383,201092,40105,34307
2233,SARALAND CITY SCHOOLS,2012,41422,1678,10168,29576,27295,9232,6685,1404,7869
3869,MONROE COUNTY SCHOOL DISTRICT,2012,35613,4162,22857,8594,33459,18518,11654,2888,315
31359,MONTGOMERY COUNTY SCHOOL DISTRICT,2012,276560,42979,161583,71998,277110,144770,91889,22552,15254
8554,DECATUR CITY SCHOOL DISTRICT,2012,91662,8218,43245,40199,92936,53607,26043,6146,5906
7790,MORGAN COUNTY SCHOOL DISTRICT,2012,77655,6447,40498,30710,70431,37941,23968,6254,601
3139,HARTSELLE CITY SCHOOL DISTRICT,2012,39119,1620,17282,20217,53539,16558,7719,2031,25132
1789,PERRY COUNTY SCHOOL DISTRICT,2012,17157,3890,10998,2269,17526,8866,6099,2022,190
2845,PICKENS COUNTY SCHOOL DISTRICT,2012,27715,3918,19220,4577,27307,14286,8438,2312,2167
2219,PIKE COUNTY SCHOOL DISTRICT,2012,23295,3805,13614,5876,22704,11374,8542,1879,552
2070,TROY CITY SCHOOL DISTRICT,2012,19042,2150,10685,6207,25591,12424,5806,1617,4622
2256,RANDOLPH COUNTY SCHOOL DISTRICT,2012,20454,2351,12932,5171,20110,10902,6712,1660,661
1552,ROANOKE CITY SCHOOL DISTRICT,2012,12594,1341,8314,2939,12314,7346,3381,1239,200
6709,PHENIX CITY SCHOOL DISTRICT,2012,59971,8334,35762,15875,61552,32018,16790,5464,5495
3491,RUSSELL COUNTY SCHOOL DISTRICT,2012,29494,3946,18471,7077,28639,14874,9303,2863,14
8648,ST CLAIR COUNTY SCHOOL DISTRICT,2012,72436,7319,46453,18664,71076,40090,19414,6659,2944
4171,PELL CITY SCHOOL DISTRICT,2012,37026,3610,22831,10585,35901,19978,10746,2708,1233
28304,SHELBY COUNTY SCHOOL DISTRICT,2012,273082,15400,142147,115535,293703,137386,79487,20816,45593
1966,SUMTER COUNTY SCHOOL DISTRICT,2012,20453,3868,11835,4750,20890,9910,8112,1777,347
2400,SYLACAUGA CITY SCHOOL DISTRICT,2012,21604,2512,13289,5803,28209,12258,6984,1743,7173
2333,TALLADEGA CITY SCHOOL DISTRICT,2012,22660,2826,14921,4913,22391,12414,7156,2018,775
7651,TALLADEGA COUNTY SCHOOL DISTRICT,2012,71436,8115,41493,21828,68346,32475,25700,6611,1345
3005,TALLAPOOSA COUNTY SCHOOL DISTRICT,2012,27684,3522,14917,9245,28640,14265,8465,2715,2586
3170,ALEXANDER CITY SCHOOL DISTRICT,2012,28962,3098,16701,9163,27371,16149,8270,1930,718
10127,TUSCALOOSA CITY SCHOOL DISTRICT,2012,118411,14286,49284,54841,114362,54199,38042,7644,12459
17631,TUSCALOOSA COUNTY SCHOOL DISTRICT,2012,168443,14533,93219,60691,164608,78153,46594,14809,22615
2723,JASPER CITY SCHOOL DISTRICT,2012,25940,2114,14025,9801,26012,15850,7966,1900,145
8191,WALKER COUNTY SCHOOL DISTRICT,2012,77708,9972,45114,22622,72442,39657,24893,6201,618
3314,WASHINGTON COUNTY SCHOOL DISTRICT,2012,29171,3522,17607,8042,28818,16456,8479,2838,877
1905,WILCOX COUNTY SCHOOL DISTRICT,2012,20362,4301,11977,4084,20240,9603,7644,1884,362
2669,WINSTON COUNTY SCHOOL DISTRICT,2012,25770,3091,15659,7020,24701,12329,9265,2536,172
1737,HALEYVILLE CITY SCHOOL DISTRICT,2012,15407,1758,9329,4320,15022,8856,4026,1497,113
0,PELHAM CITY,2014,42443,162,9,42272,7396,2212,3392,554,963
9556,AUTAUGA COUNTY SCHOOL DISTRICT,2014,78492,7109,52944,18439,74619,42888,22594,6813,835
30281,BALDWIN COUNTY SCHOOL DISTRICT,2014,312094,23952,134856,153286,295946,159867,93884,18334,14313
969,BARBOUR COUNTY SCHOOL DISTRICT,2014,10906,2628,5804,2474,10756,5368,3846,1297,30
2852,EUFAULA CITY SCHOOL DISTRICT,2014,25287,3486,15480,6321,25379,14717,7395,2278,949
3448,BIBB COUNTY SCHOOL DISTRICT,2014,31253,3438,21566,6249,30879,15848,9868,3100,1401
8261,BLOUNT COUNTY SCHOOL DISTRICT,2014,69353,6852,48997,13504,68994,37731,22378,5209,3102
1474,ONEONTA CITY SCHOOL DISTRICT,2014,12661,966,8212,3483,12459,6748,3854,1579,106
1506,BULLOCK COUNTY SCHOOL DISTRICT,2014,17069,4882,9346,2841,17339,7620,7784,1568,220
3294,BUTLER COUNTY SCHOOL DISTRICT,2014,32324,6658,18603,7063,31482,15943,10225,2932,763
2039,ANNISTON CITY SCHOOL DISTRICT,2014,22930,4317,10815,7798,25364,12424,10453,2018,442
9386,CALHOUN COUNTY SCHOOL DISTRICT,2014,84620,8159,53223,23238,82624,43369,30332,6824,1867
1539,JACKSONVILLE CITY SCHOOL DISTRICT,2014,14314,1239,8408,4667,14044,8025,4406,1043,504
1235,PIEDMONT CITY SCHOOL DISTRICT,2014,11294,1326,7131,2837,11019,6012,3805,921,223
4241,OXFORD CITY SCHOOL DISTRICT,2014,42692,3740,22371,16581,44463,22969,12519,2802,4514
3787,CHAMBERS COUNTY SCHOOL DISTRICT,2014,36194,5301,22142,8751,38289,18151,13366,3448,2925
894,LANETT CITY SCHOOL DISTRICT,2014,8669,1838,5108,1723,9073,4814,2697,978,535
4049,CHEROKEE COUNTY SCHOOL DISTRICT,2014,40983,4709,24527,11747,38845,20483,12611,3882,1087
7670,CHILTON COUNTY SCHOOL DISTRICT,2014,65158,7999,43564,13595,62936,37083,19278,5949,412
1666,CHOCTAW COUNTY SCHOOL DISTRICT,2014,18984,2217,9504,7263,16736,7400,6492,1544,774
3106,CLARKE COUNTY SCHOOL DISTRICT,2014,29033,4356,17966,6711,30401,14913,10457,3185,1300
1450,THOMASVILLE CITY SCHOOL DISTRICT,2014,14208,1496,8755,3957,14005,7548,4677,1124,594
2013,CLAY COUNTY SCHOOL DISTRICT,2014,18674,2120,12963,3591,18700,10292,5649,1776,362
2664,CLEBURNE COUNTY SCHOOL DISTRICT,2014,24279,2508,16888,4883,24868,13573,7858,2258,617
2017,COFFEE COUNTY SCHOOL DISTRICT,2014,19777,2767,12246,4764,22151,10043,7059,1478,3383
720,ELBA CITY SCHOOL DISTRICT,2014,7495,1111,4724,1660,7748,3620,3139,878,27
6690,ENTERPRISE CITY SCHOOL DISTRICT,2014,60104,6535,36424,17145,59905,32267,21091,4682,1109
2739,COLBERT COUNTY SCHOOL DISTRICT,2014,27284,3216,13938,10130,29207,15478,10500,2914,245
1127,SHEFFIELD CITY SCHOOL DISTRICT,2014,13309,2051,6628,4630,13110,6698,4115,1263,975
1516,TUSCUMBIA CITY SCHOOL DISTRICT,2014,14396,1239,8263,4894,15339,7353,5307,1234,1251
2883,MUSCLE SHOALS CITY SCHOOL DISTRICT,2014,28301,1588,15572,11141,33641,15484,9241,2600,5913
1559,CONECUH COUNTY SCHOOL DISTRICT,2014,21061,2802,9816,8443,19275,9222,7853,1694,192
1110,COOSA COUNTY SCHOOL DISTRICT,2014,11110,1767,6473,2870,11094,5638,4301,891,32
1754,ANDALUSIA CITY SCHOOL DISTRICT,2014,19998,2194,9311,8493,20389,8906,4812,1102,5512
3142,COVINGTON COUNTY SCHOOL DISTRICT,2014,30125,3814,18465,7846,28952,15608,9172,2985,927
1296,OPP CITY SCHOOL DISTRICT,2014,12753,1291,8021,3441,12367,6412,3985,1242,264
2239,CRENSHAW COUNTY SCHOOL DISTRICT,2014,20326,2527,12728,5071,20913,11278,6258,2260,964
3071,CULLMAN CITY SCHOOL DISTRICT,2014,29072,2922,14168,11982,45869,18119,8269,1890,16802
9656,CULLMAN COUNTY SCHOOL DISTRICT,2014,91163,8502,58691,23970,88055,49932,28963,6791,1863
3026,DALE COUNTY SCHOOL DISTRICT,2014,27411,2490,18059,6862,26567,14966,8280,2359,515
2275,OZARK CITY SCHOOL DISTRICT,2014,23175,2683,14574,5918,22237,11428,8340,1659,702
1143,DALEVILLE CITY SCHOOL DISTRICT,2014,10920,1757,6894,2269,11686,5806,4238,869,327
3519,DALLAS COUNTY SCHOOL DISTRICT,2014,39330,9306,23449,6575,38422,18428,16316,3402,52
4100,SELMA CITY SCHOOL DISTRICT,2014,35759,7034,21845,6880,35361,19481,11048,3468,1023
8784,DE KALB COUNTY SCHOOL DISTRICT,2014,81327,10279,52209,18839,81300,45400,24199,6680,4713
3070,FORT PAYNE CITY SCHOOL DISTRICT,2014,27988,3509,16797,7682,27208,15504,7757,2668,815
11234,ELMORE COUNTY SCHOOL DISTRICT,2014,95430,8475,60928,26027,94420,53167,28254,8178,3078
1931,TALLASSEE CITY SCHOOL DISTRICT,2014,16625,1612,10235,4778,16340,9753,4711,1494,260
1110,BREWTON CITY SCHOOL DISTRICT,2014,12017,1042,6614,4361,16794,6625,3367,706,5974
4530,ESCAMBIA COUNTY SCHOOL DISTRICT,2014,45544,5851,26889,12804,53436,23357,16408,3868,8658
1747,ATTALLA CITY SCHOOL DISTRICT,2014,15802,2018,10866,2918,15576,8588,4808,1589,228
8981,ETOWAH COUNTY BOARD OF EDUCATION,2014,78620,7821,53461,17338,84876,42140,24369,6950,9570
5345,GADSDEN CITY SCHOOL DISTRICT,2014,51911,8043,29620,14248,50659,27960,16570,5234,99
2429,FAYETTE COUNTY SCHOOL DISTRICT,2014,22551,2742,14589,5220,22792,11989,7998,2546,127
3217,FRANKLIN COUNTY SCHOOL DISTRICT,2014,47208,7411,30902,8895,42221,17200,9534,4586,10271
2573,RUSSELLVILLE CITY SCHOOLS,2014,25177,3281,14715,7181,24056,13641,7014,2711,557
2772,GENEVA COUNTY SCHOOL DISTRICT,2014,23389,3077,15869,4443,26090,12283,8240,2488,2803
1255,GENEVA CITY SCHOOL DISTRICT,2014,11627,1260,7705,2662,11285,6607,3469,876,226
1208,GREENE COUNTY SCHOOL DISTRICT,2014,14252,2546,8064,3642,21075,6269,6007,999,7327
2819,HALE COUNTY SCHOOL DISTRICT,2014,27650,3506,17625,6519,29703,14026,8841,2313,4458
2621,HENRY COUNTY SCHOOL DISTRICT,2014,23837,2780,16109,4948,23540,12460,7472,2065,824
9351,DOTHAN CITY SCHOOL DISTRICT,2014,84540,12769,47579,24192,87840,50676,28075,6637,1879
6298,HOUSTON COUNTY SCHOOL DISTRICT,2014,54783,6100,33228,15455,57473,31373,18328,4701,2358
5712,JACKSON COUNTY SCHOOL DISTRICT,2014,58808,7214,35987,15607,63607,27540,21018,5778,9106
2649,SCOTTSBORO CITY SCHOOL DISTRICT,2014,26872,2271,14905,9696,26265,13618,8732,2423,1210
3995,BESSEMER CITY SCHOOL DISTRICT,2014,42441,7946,22190,12305,43924,20253,15078,4318,3460
24858,BIRMINGHAM CITY SCHOOL DISTRICT,2014,272987,41271,126425,105291,288393,134498,95154,22293,13322
1798,FAIRFIELD CITY SCHOOL DISTRICT,2014,17521,2530,10526,4465,30401,8818,6591,1544,13326
36203,JEFFERSON COUNTY BOARD OF EDUCATION,2014,344210,34906,189265,120039,360202,183548,111521,28380,10925
1093,TARRANT CITY SCHOOL DISTRICT,2014,12015,2040,6395,3580,11931,5236,5070,1397,140
1913,LEEDS CITY SCHOOL DISTRICT,2014,18899,1525,9914,7460,17957,9153,5741,1280,147
4269,TRUSSVILLE CITY SCHOOL DISTRICT,2014,40690,967,21928,17795,56547,22057,15254,3214,13565
13943,HOOVER CITY SCHOOL DISTRICT,2014,162705,5936,68667,88102,168763,92756,51488,12463,3907
4477,MOUNTAIN BROOK SCHOOLS,2014,58652,812,19550,38290,58754,34203,18026,3693,2227
3907,HOMEWOOD CITY SCHOOL DISTRICT,2014,48248,2049,14934,31265,56397,30136,14375,3302,7273
1159,MIDFIELD CITY SCHOOL DISTRICT,2014,13393,3246,7221,2926,15491,6115,5095,1291,2958
6762,VESTAVIA HILLS CITY SCHOOL DISTRICT,2014,75659,1639,31620,42400,85908,45318,22220,4692,8392
2382,LAMAR COUNTY SCHOOL DISTRICT,2014,21503,2538,14304,4661,20707,10687,7098,2312,324
4454,FLORENCE CITY SCHOOL DISTRICT,2014,50955,5960,22335,22660,55838,26567,16177,3159,8424
8566,LAUDERDALE COUNTY SCHOOL DISTRICT,2014,77136,5829,49397,21910,77692,44388,22582,6187,4343
5056,LAWRENCE COUNTY SCHOOL DISTRICT,2014,53338,7706,33038,12594,54956,26421,16590,4334,6798
9847,LEE COUNTY SCHOOL DISTRICT,2014,91165,7231,54015,29919,92174,51302,27841,6961,3706
4337,OPELIKA CITY SCHOOLS,2014,45659,4692,22297,18670,55400,26301,14771,3948,7985
7843,AUBURN CITY SCHOOL DISTRICT,2014,80916,4135,36328,40453,72660,40047,24406,4990,2382
3279,ATHENS CITY SCHOOL DISTRICT,2014,37644,2802,17043,17799,36879,21193,10896,2600,808
8971,LIMESTONE COUNTY SCHOOL DISTRICT,2014,85868,6632,52476,26760,92050,48199,26190,6253,9572
1695,LOWNDES COUNTY SCHOOL DISTRICT,2014,23170,7961,11078,4131,23344,11002,9715,1914,245
2213,MACON COUNTY SCHOOL DISTRICT,2014,25694,4670,15897,5127,29290,11252,11187,2055,3479
23656,HUNTSVILLE CITY SCHOOL DISTRICT,2014,269982,25661,114582,129739,304278,134831,93601,13829,46498
19741,MADISON COUNTY SCHOOL DISTRICT,2014,190128,13155,107538,69435,219390,95701,56716,15679,43704
9554,MADISON CITY SCHOOL DISTRICT,2014,100874,4509,53164,43201,104829,50178,31748,5412,12234
2246,DEMOPOLIS CITY SCHOOL DISTRICT,2014,19521,1862,12726,4933,20287,11708,5928,1775,758
1258,MARENGO COUNTY SCHOOL DISTRICT,2014,12803,1777,7940,3086,12758,6240,4800,1183,318
508,LINDEN CITY SCHOOL DISTRICT,2014,5249,777,3395,1077,5017,2530,1960,506,0
3460,MARION COUNTY SCHOOL DISTRICT,2014,44661,4195,26581,13885,42808,18259,9154,2826,12496
1297,WINFIELD CITY SCHOOL DISTRICT,2014,12326,1105,7566,3655,13184,6872,3888,1223,1136
5604,MARSHALL COUNTY SCHOOL DISTRICT,2014,55299,7152,34055,14092,54005,27312,19664,5712,781
2213,BOAZ CITY SCHOOL DISTRICT,2014,22093,2186,12816,7091,23671,10697,7518,2227,2670
4713,ALBERTVILLE CITY SCHOOL DISTRICT,2014,43875,5380,25102,13393,43121,21958,13381,3690,2796
2607,ARAB CITY SCHOOL DISTRICT,2014,22589,1436,14382,6771,23829,14196,7068,1789,685
1984,GUNTERSVILLE CITY SCHOOL DISTRICT,2014,18636,1631,10355,6650,19602,9997,6323,2001,1119
58808,MOBILE COUNTY SCHOOL DISTRICT,2014,558871,79684,302220,176967,580513,278728,205459,43498,38218
2730,SARALAND CITY SCHOOLS,2014,24980,2008,13358,9614,26454,11550,8326,1759,2368
882,CHICKASAW CITY SCHOOLS,2014,8393,1629,4792,1972,7864,4356,2726,760,0
1304,SATSUMA CITY SCHOOL DISTRICT,2014,13113,982,8031,4100,12532,6289,4805,794,605
3693,MONROE COUNTY SCHOOL DISTRICT,2014,33541,4861,20611,8069,34922,18610,11872,3065,1277
31802,MONTGOMERY COUNTY SCHOOL DISTRICT,2014,279618,38531,163883,77204,277662,151501,95528,22735,5667
8606,DECATUR CITY SCHOOL DISTRICT,2014,96020,8834,44306,42880,96616,55783,26579,7050,5852
7785,MORGAN COUNTY SCHOOL DISTRICT,2014,80741,6193,40855,33693,85786,38627,25510,6825,12744
3076,HARTSELLE CITY SCHOOL DISTRICT,2014,30464,1727,17565,11172,30849,17509,9217,1807,1523
1673,PERRY COUNTY SCHOOL DISTRICT,2014,17601,3905,10771,2925,17523,8799,5939,2112,389
2703,PICKENS COUNTY SCHOOL DISTRICT,2014,25807,3684,17352,4771,25860,14007,8984,2369,436
2188,PIKE COUNTY SCHOOL DISTRICT,2014,23518,3507,13733,6278,25483,11515,9156,1958,2529
2076,TROY CITY SCHOOL DISTRICT,2014,18599,2009,10505,6085,25454,11653,5540,1608,5526
2221,RANDOLPH COUNTY SCHOOL DISTRICT,2014,20953,2224,13084,5645,21380,11240,7195,1672,1153
1467,ROANOKE CITY SCHOOL DISTRICT,2014,13300,1535,8532,3233,13704,7716,3826,1200,810
6948,PHENIX CITY SCHOOL DISTRICT,2014,64724,8619,39473,16632,66896,35062,19636,5639,3641
3595,RUSSELL COUNTY SCHOOL DISTRICT,2014,32369,4038,20586,7745,30727,15970,10366,3401,118
8839,ST CLAIR COUNTY SCHOOL DISTRICT,2014,75832,6566,49660,19606,79490,44674,21588,8096,3501
4130,PELL CITY SCHOOL DISTRICT,2014,37639,3729,23112,10798,36449,20453,11421,2882,746
22809,SHELBY COUNTY SCHOOL DISTRICT,2014,234796,13518,118108,103170,245065,120192,76187,17687,21215
1756,SUMTER COUNTY SCHOOL DISTRICT,2014,20979,3835,11578,5566,20448,9101,7544,1768,1251
2391,SYLACAUGA CITY SCHOOL DISTRICT,2014,23931,2232,13673,8026,25715,12966,7055,1841,3760
2211,TALLADEGA CITY SCHOOL DISTRICT,2014,22535,2861,14196,5478,21270,12214,7149,1816,65
7745,TALLADEGA COUNTY SCHOOL DISTRICT,2014,74297,8421,41350,24526,73134,34013,28692,6733,1886
2938,TALLAPOOSA COUNTY SCHOOL DISTRICT,2014,27079,3070,14723,9286,29449,15369,9101,2493,1923
3087,ALEXANDER CITY SCHOOL DISTRICT,2014,29395,3100,16783,9512,27996,16187,8783,2064,582
10233,TUSCALOOSA CITY SCHOOL DISTRICT,2014,124808,16147,51759,56902,138248,57446,43481,8799,26976
17860,TUSCALOOSA COUNTY SCHOOL DISTRICT,2014,173718,14188,98583,60947,166941,85981,50924,14918,13328
2756,JASPER CITY SCHOOL DISTRICT,2014,27112,2342,14637,10133,27414,15960,8820,2050,434
8073,WALKER COUNTY SCHOOL DISTRICT,2014,77743,9396,46488,21859,82179,41119,25683,5822,8243
3083,WASHINGTON COUNTY SCHOOL DISTRICT,2014,31122,3645,18447,9030,30191,16184,9018,3125,1708
1871,WILCOX COUNTY SCHOOL DISTRICT,2014,20039,3949,11886,4204,20152,9551,7598,1976,282
2576,WINSTON COUNTY SCHOOL DISTRICT,2014,26231,2687,15776,7768,28620,12514,9957,2650,3146
1707,HALEYVILLE CITY SCHOOL DISTRICT,2014,16154,1924,9719,4511,16854,9186,4772,1671,672
9904,AUTAUGA COUNTY SCHOOL DISTRICT,2011,81106,9924,52990,18192,80709,45385,23708,6225,3667
28199,BALDWIN COUNTY SCHOOL DISTRICT,2011,281434,30713,105457,145264,253965,141132,82760,15455,3851
1073,BARBOUR COUNTY SCHOOL DISTRICT,2011,11241,3049,6165,2027,11425,5676,4209,1221,75
2768,EUFAULA CITY SCHOOL DISTRICT,2011,25172,3838,14844,6490,23780,14156,7202,2106,281
3512,BIBB COUNTY SCHOOL DISTRICT,2011,34209,5693,21583,6933,33971,16907,10162,3497,2596
8498,BLOUNT COUNTY SCHOOL DISTRICT,2011,71013,9285,49104,12624,70895,37694,21129,5718,5769
1448,ONEONTA CITY SCHOOL DISTRICT,2011,12178,1303,7817,3058,12690,6651,3371,1214,1160
1579,BULLOCK COUNTY SCHOOL DISTRICT,2011,17271,3734,10715,2822,17347,7132,6347,1617,2036
3368,BUTLER COUNTY SCHOOL DISTRICT,2011,31714,6662,18276,6776,30365,16835,8716,2643,520
2312,ANNISTON CITY SCHOOL DISTRICT,2011,24794,6134,11486,7174,24545,12667,8917,2143,784
9403,CALHOUN COUNTY SCHOOL DISTRICT,2011,85452,11573,52694,21185,79016,42771,28924,6545,521
1702,JACKSONVILLE CITY SCHOOL DISTRICT,2011,15192,1769,9188,4235,13789,8601,4016,961,101
1135,PIEDMONT CITY SCHOOL DISTRICT,2011,14248,1708,5870,6670,14819,5333,3074,684,5623
4084,OXFORD CITY SCHOOL DISTRICT,2011,41459,4475,20649,16335,42035,22330,11941,2625,3812
4070,CHAMBERS COUNTY SCHOOL DISTRICT,2011,35466,5333,22014,8119,34028,18341,11655,2841,525
811,LANETT CITY SCHOOL DISTRICT,2011,8154,1673,4873,1608,7641,4434,2427,627,106
4081,CHEROKEE COUNTY SCHOOL DISTRICT,2011,38732,5456,23449,9827,37046,19913,12025,3427,839
7859,CHILTON COUNTY SCHOOL DISTRICT,2011,65222,10979,41987,12256,65274,37497,17775,5474,3668
1769,CHOCTAW COUNTY SCHOOL DISTRICT,2011,19870,3609,10364,5897,18502,8514,6542,1744,711
3405,CLARKE COUNTY SCHOOL DISTRICT,2011,30971,5458,18593,6920,30606,16083,10502,3197,234
1523,THOMASVILLE CITY SCHOOL DISTRICT,2011,15266,2347,8830,4089,14664,7546,4315,1397,1297
2066,CLAY COUNTY SCHOOL DISTRICT,2011,27409,2690,12617,12102,43004,10608,5430,1704,24744
2669,CLEBURNE COUNTY SCHOOL DISTRICT,2011,24668,3428,16746,4494,23821,12746,7357,2181,923
2002,COFFEE COUNTY SCHOOL DISTRICT,2011,19192,3224,11620,4348,18933,9926,5885,1441,1465
829,ELBA CITY SCHOOL DISTRICT,2011,8609,1577,4931,2101,8185,4148,2834,867,318
6452,ENTERPRISE CITY SCHOOL DISTRICT,2011,58141,8301,34823,15017,60853,31245,18719,4403,5725
2895,COLBERT COUNTY SCHOOL DISTRICT,2011,30886,4630,16206,10050,29605,15715,10654,2820,331
1113,SHEFFIELD CITY SCHOOL DISTRICT,2011,13340,2626,6704,4010,12517,7084,4015,1206,152
1582,TUSCUMBIA CITY SCHOOL DISTRICT,2011,15493,1938,8506,5049,14458,7792,5125,1147,243
2840,MUSCLE SHOALS CITY SCHOOL DISTRICT,2011,27220,2379,14713,10128,25323,14025,8425,2306,451
1709,CONECUH COUNTY SCHOOL DISTRICT,2011,19188,3919,9566,5703,19178,9620,7249,1520,498
1277,COOSA COUNTY SCHOOL DISTRICT,2011,13415,3127,7349,2939,14792,6372,4952,1019,2114
1670,ANDALUSIA CITY SCHOOL DISTRICT,2011,15837,2546,9015,4276,14656,8600,4646,1071,236
3139,COVINGTON COUNTY SCHOOL DISTRICT,2011,30270,5261,17617,7392,29655,15430,9216,3052,1646
1385,OPP CITY SCHOOL DISTRICT,2011,12779,1713,7675,3391,12239,6296,3960,1021,450
2299,CRENSHAW COUNTY SCHOOL DISTRICT,2011,20969,3479,13336,4154,20236,11433,6771,1852,35
3017,CULLMAN CITY SCHOOL DISTRICT,2011,28039,3706,13662,10671,28968,16891,7527,1857,2398
9776,CULLMAN COUNTY SCHOOL DISTRICT,2011,88888,12482,56619,19787,83795,48244,26452,6654,977
2906,DALE COUNTY SCHOOL DISTRICT,2011,27621,4374,16715,6532,27288,15093,8264,2125,1295
2392,OZARK CITY SCHOOL DISTRICT,2011,25596,4402,15337,5857,24503,12402,8281,1773,1851
1223,DALEVILLE CITY SCHOOL DISTRICT,2011,11639,2417,6557,2665,12877,6006,4091,995,1371
3883,DALLAS COUNTY SCHOOL DISTRICT,2011,39194,8995,25376,4823,38971,19770,15112,3453,215
4150,SELMA CITY SCHOOL DISTRICT,2011,38419,8464,23469,6486,44089,20088,11339,3333,8958
8857,DE KALB COUNTY SCHOOL DISTRICT,2011,84339,15109,50940,18290,81881,46437,23750,6003,5291
3098,FORT PAYNE CITY SCHOOL DISTRICT,2011,27108,3685,16325,7098,25311,14276,6762,2609,1147
11016,ELMORE COUNTY SCHOOL DISTRICT,2011,95605,12080,58256,25269,96898,53246,27277,7653,6335
1940,TALLASSEE CITY SCHOOL DISTRICT,2011,17079,2190,10293,4596,15866,9636,4274,1322,493
1222,BREWTON CITY SCHOOL DISTRICT,2011,23110,1474,17329,4307,21200,6739,3217,676,10162
4628,ESCAMBIA COUNTY SCHOOL DISTRICT,2011,48921,8769,27592,12560,46704,24246,15952,4111,2117
1678,ATTALLA CITY SCHOOL DISTRICT,2011,15250,2443,10040,2767,14924,8157,4529,1409,432
9295,ETOWAH COUNTY BOARD OF EDUCATION,2011,81665,11855,50934,18876,76421,42661,22743,5883,3373
5516,GADSDEN CITY SCHOOL DISTRICT,2011,52602,9816,28900,13886,48932,26774,16280,4529,377
2415,FAYETTE COUNTY SCHOOL DISTRICT,2011,26031,3869,16098,6064,25729,12170,7665,2603,3155
3351,FRANKLIN COUNTY SCHOOL DISTRICT,2011,39659,6901,20295,12463,36486,17359,9971,4084,4141
2417,RUSSELLVILLE CITY SCHOOLS,2011,23208,3790,12968,6450,22326,12899,6034,2308,210
2731,GENEVA COUNTY SCHOOL DISTRICT,2011,23833,4121,15570,4142,22831,12239,7643,2116,654
1248,GENEVA CITY SCHOOL DISTRICT,2011,11781,1942,7189,2650,10726,6690,3080,827,49
1348,GREENE COUNTY SCHOOL DISTRICT,2011,14736,3450,8258,3028,14306,6981,5538,1168,467
2895,HALE COUNTY SCHOOL DISTRICT,2011,27088,5562,16949,4577,26183,15024,8593,2063,303
